file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/BufferIterator.java,libcore.io.BufferIterator,class,2,7,1,0,21,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,51,1025
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/AsynchronousCloseMonitor.java,libcore.io.AsynchronousCloseMonitor,class,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/ssl/SslContextBuilder.java,libcore.net.ssl.SslContextBuilder,class,4,7,1,35,8,5,0,2,3,0,0,0,0,0,4,1,0,4,0,0,2,0,13,67,4,0,0,1,0,11,5,18,4,18,1,0,0,0,98,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/MockSpdyPeer.java,libcore.net.spdy.MockSpdyPeer$Anonymous1,anonymous,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/MockSpdyPeer.java,libcore.net.spdy.MockSpdyPeer,class,7,13,1,17,7,7,0,6,1,0,0,0,0,0,5,0,0,5,0,0,3,0,3,87,4,1,4,0,0,2,3,19,0,16,3,1,2,0,58,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/MockSpdyPeer.java,libcore.net.spdy.MockSpdyPeer$OutFrame,subclass,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,10
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/MockSpdyPeer.java,libcore.net.spdy.MockSpdyPeer$InFrame,subclass,2,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,9
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/SpdyConnectionTest.java,libcore.net.spdy.SpdyConnectionTest,class,8,2,2,22,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,58,0,0,0,0,0,19,11,21,0,13,0,1,0,0,40,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/spdy/SpdyConnectionTest.java,libcore.net.spdy.SpdyConnectionTest$Anonymous1,anonymous,1,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,4,1,0,0,0,0,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/http/ExternalSpdyExample.java,libcore.net.http.ExternalSpdyExample,class,2,2,1,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,1,0,1,2,0,5,0,5,1,1,0,0,31,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/http/ExternalSpdyExample.java,libcore.net.http.ExternalSpdyExample$Anonymous1,anonymous,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/test/java/libcore/net/http/NewURLConnectionTest.java,libcore.net.http.NewURLConnectionTest,class,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
